,Total DUC,Total US RigCount,U.S. Product Supplied of Crude Oil (Thousand Barrels per Day),U.S. Crude Oil Proved Reserves (Million Barrels),U.S. Field Production of Crude Oil (Thousand Barrels),Crude oil including lease condensate production,"Petroleum and other liquids production, Mexico (thousand barrels per day)",Total Imports,Africa_Imports,Asia_Imports,South America_Imports,Europe_Imports,North America_Imports,Oceania_Imports,Total Exports,Asia_Exports,Europe_Exports,Africa_Exports,North America_Exports,South America_Exports,Oceania_Exports,NYMEX - Light Sweet Crude $/bbl,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),US Offshore
1966-03-31,,,,31352.0,257107.0,,,,,,,,,,,,,,,,,,,
1966-04-30,,,,31352.0,248155.0,,,,,,,,,,,,,,,,,,,
1966-05-31,,,,31352.0,258677.0,,,,,,,,,,,,,,,,,,,
1966-06-30,,,,31352.0,250391.0,,,,,,,,,,,,,,,,,,,
1966-07-31,,,,31452.0,255121.0,,,,,,,,,,,,,,,,,,,
1966-08-31,,,,31452.0,255812.0,,,,,,,,,,,,,,,,,,,
1966-09-30,,,,31452.0,247632.0,,,,,,,,,,,,,,,,,,,
1966-10-31,,,,31452.0,258008.0,,,,,,,,,,,,,,,,,,,
1966-11-30,,,,31452.0,252825.0,,,,,,,,,,,,,,,,,,,
1966-12-31,,,,31452.0,263843.0,,,,,,,,,,,,,,,,,,,
1967-01-31,,,,31452.0,265577.0,,,,,,,,,,,,,,,,,,,
1967-02-28,,,,31452.0,241366.0,,,,,,,,,,,,,,,,,,,
1967-03-31,,,,31452.0,264854.0,,,,,,,,,,,,,,,,,,,
1967-04-30,,,,31452.0,254252.0,,,,,,,,,,,,,,,,,,,
1967-05-31,,,,31452.0,259923.0,,,,,,,,,,,,,,,,,,,
1967-06-30,,,,31452.0,256174.0,,,,,,,,,,,,,,,,,,,
1967-07-31,,,,31377.0,283776.0,,,,,,,,,,,,,,,,,,,
1967-08-31,,,,31377.0,292495.0,,,,,,,,,,,,,,,,,,,
1967-09-30,,,,31377.0,272845.0,,,,,,,,,,,,,,,,,,,
1967-10-31,,,,31377.0,278997.0,,,,,,,,,,,,,,,,,,,
1967-11-30,,,,31377.0,269348.0,,,,,,,,,,,,,,,,,,,
1967-12-31,,,,31377.0,276135.0,,,,,,,,,,,,,,,,,,,
1968-01-31,,,,31377.0,279868.0,,,,,,,,,,,,,,,,,,,
1968-02-29,,,,31377.0,270425.0,,,,,,,,,,,,,,,,,,,
1968-03-31,,,,31377.0,288882.0,,,,,,,,,,,,,,,,,,,
1968-04-30,,,,31377.0,273690.0,,,,,,,,,,,,,,,,,,,
